Currency,Date,Closing Price (USD),% Change,,,,Date,Cum Cases,Cum Deaths,%Change Cases,%Change Deaths,,,,,,,
BTC,12/03/2020,5800.208905,-27%,,,,,,,,,,,,,,,
BTC,13/03/2020,5672.681201,-2%,,,,,,,,,,,,,,,
BTC,14/03/2020,5304.149952,-6%,,,,,,,,,,,,,,,
BTC,15/03/2020,5355.187374,1%,,,,,,,,,,,,,,,
BTC,16/03/2020,4944.702336,-8%,,,,,,,,,,,,,,,
BTC,17/03/2020,5465.582594,11%,,,,,,,,,,,,,,,
BTC,18/03/2020,5363.822853,-2%,,,,,,,,,,,,,,,
BTC,19/03/2020,6301.063404,17%,,,,,,,,,,,,,,,
BTC,20/03/2020,6185.279839,-2%,,,,,,,,,,,,,,,
BTC,21/03/2020,6187.05375,0%,,,,,,,,,,,,,,,
BTC,22/03/2020,5884.340133,-5%,,,,,,,,,,,,,,,
BTC,23/03/2020,6455.454688,10%,,,,,,,,,,,,,,,
BTC,24/03/2020,6784.318011,5%,,,,,,,,,,,,,,,
BTC,25/03/2020,6706.985089,-1%,,,,,,,,,,,,,,,
BTC,26/03/2020,6721.495392,0%,,,,,,,,,,,,,,,
BTC,27/03/2020,6682.780049,-1%,,,,,,,,,,,,,,,
BTC,28/03/2020,6229.488343,-7%,,,,,,,,,,,,,,,
BTC,29/03/2020,5922.489835,-5%,,,,,,,,,,,,,,,
BTC,31/03/2020,6483.739446,9%,,,,,,,,,,,,,,,
BTC,01/04/2020,6537.336462,1%,,,,,,,,,,,,,,,
BTC,02/04/2020,6850.558712,5%,,,,,,,,,,,,,,,
BTC,03/04/2020,6776.370094,-1%,,,,,,,,,,,,,,,
BTC,04/04/2020,6855.933264,1%,,,,,,,,,,,,,,,
BTC,05/04/2020,6805.362287,-1%,,,,,,,,,,,,,,,
BTC,06/04/2020,7278.24397,7%,,,,,,,,,,,,,,,
BTC,07/04/2020,7175.667477,-1%,,,,,,,,,,,,,,,
BTC,08/04/2020,7367.293398,3%,,,,,,,,,,,,,,,
BTC,10/04/2020,6866.398189,-7%,,,,,,,,,,,,,,,
BTC,12/04/2020,6873.848495,0%,,,,,,,,,,,,,,,
BSV,12/01/2020,161.7685202,0,,,,,,,,,,,,,,,
BSV,13/01/2020,171.7199094,6%,,,,,,,,,,,,,,,
BSV,14/01/2020,379.0200293,121%,,,,,,,,,,,,,,,
